IN,year,expenditures,income,income_log,contributions,dfpa,djpa,founded,age_log,development,education,environment,humanitarian,health,numpart,numpart_log,depth,breadth,partnerships,agreements,monitoring,capacity,design,implementation,financial,un_system,wb_group,scope,ppp,gdp_ratio,memnum_log,idealpoint,pol_avg,geo_hhi,aus_results,aus_multi,aus_strategic,aus_cost,aus_pi,den_eff,den_innov,den_risk,den_comp,den_reform,den_1_pi,den_fin,den_cont,den_2_pi,mop_off,mop_scci,mop_ra,mop_cets,mop_rf,mop_ar,mop_rde,mop_sr,mop_1_pi,mop_pdr,mop_ctfr,mop_cpfr,mop_rad,mop_lamp,mop_fa,mop_upi,mop_mhr,mop_pop,mop_exr,mop_ppi,mop_dll,mop_2_pi,net_strategy,net_governance,net_hrm,net_financial,net_results,net_focus,net_1_pi,net_2_pi,swe_internal,swe_external,swe_pi,uk_critint,uk_results,uk_cost,uk_poor,uk_strategic,uk_financial,uk_1_pi,uk_comp,uk_geo,uk_hr,uk_risk,uk_fraud,uk_efficiency,uk_2_pi,mop_pi,den_pi,net_pi,uk_pi,avg_pi,time_trend,time_trend2,income_log
ASDB,2011,2070.192,3518.573,8.165810789,1578.848,4.551281727,3.5,1966,3.828641396,1,0,0,0,0,54,4.007333185,0.97,1,3.88711319,0,0,1,1,1,1,0,0,1,0,0.289339022,4.127134385,0.96492628,5.66,985.3490376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.175,4.74,4.065,5.285,3.455,4.675,4.555,4.15,5.135,4.775,4.835,5.05,1.516373664,4,3,2,4,3,3,0.411658869,0.372601652,3,4,0.068638727,4,3,3,3,4,3,1.608591658,NA,NA,NA,NA,NA,NA,NA,1.516373664,NA,0.784260521,1.608591658,0.994466143,4,16,8.165810789
ASDB,2012,1568.869,2959.266,7.992696544,1297.269,4.561624741,3.5,1966,3.850147602,1,0,0,0,0,57,4.060443011,0.97,1,3.93862972,0,0,1,1,1,1,0,0,1,0,0.288947815,4.110873864,0.845317892,5.653061224,1016.646849,3,3,3,2,0.305698534,4,3,3,3,3,1.709674911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.709674911,NA,NA,1.007686722,5,25,7.992696544
ASDB,2013,1582,2869,7.961718816,1373,4.52143604,3.5,1966,3.871201011,1,0,0,0,0,57,4.060443011,0.98,1,3.97923415,0,0,1,1,1,1,0,0,1,0,0.289478528,4.110873864,0.890530037,5.734693878,1016.646849,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,6,5,1.788141696,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.79,4.785,5,4.69,3.99,4.795,5.205,4.395,5.215,4.75,4.675,4.57,1.645923178,3,4,3,3,3,4,0.793231736,0.179031707,NA,NA,NA,4,3,3,3,4,3,1.608591658,NA,NA,NA,NA,NA,NA,NA,1.645923178,1.788141696,0.972263443,1.608591658,1.503729994,6,36,7.961718816
ASDB,2015,1401,2524,7.833600224,1123,4.555071315,3.5,1966,3.912023005,1,0,0,0,0,60,4.110873864,0.98,1,4.028656387,0,0,1,1,1,1,0,0,1,0,0.286577513,4.127134385,0.869992825,5.568627451,985.3490376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,4,4,NA,NA,0.946186067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.946186067,NA,0.946186067,8,64,7.833600224
ASDB,2016,1814,2921,7.979681302,999,4.657993838,3.5,1966,3.931825633,1,0,0,0,0,62,4.143134726,0.98,1,4.060272032,0,0,1,1,1,1,0,0,1,0,0.287345477,4.110873864,0.795209899,5.4,1016.646849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3,3,NA,NA,NA,NA,3.5,3.5,3,3.5,3.5,3,1.235802647,NA,NA,NA,1.235802647,1.235802647,9,81,7.979681302
ASDB,2017,2265,3760,8.232174236,1059,4.718351064,3.5,1966,3.951243719,1,0,0,0,0,65,4.189654742,0.98,1,4.105861647,0,0,1,1,1,1,0,0,1,0,0.282088927,4.110873864,0.815224257,5.3,1016.646849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,4,NA,NA,0.426260617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.426260617,NA,0.426260617,10,100,8.232174236
ASDB,2018,3934,4776,8.471358655,878,4.816164154,3.5,1966,3.970291914,1,0,0,0,0,67,4.219507705,0.98,1,4.135117551,0,0,1,1,1,1,0,0,1,0,0.284596286,4.110873864,0.791225571,5.26,1016.646849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41,3.48,3.21,3.81,3.38,2.83,2,2.17,0.881181451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.881181451,NA,NA,NA,0.881181451,11,121,8.471358655
CDB,2011,55.769,130.524,4.871557118,42.513,3.674289786,3.5,1969,3.761200116,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0.957332656,3.135494216,0.781679202,6,5614.36673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,3,-1.801199376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.801199376,-1.801199376,4,16,4.871557118
CDB,2013,85.214,192.74,5.26134213,66.266,3.656189686,3.5,1969,3.80666249,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0.86564225,3.17805383,0.759700372,6.6,5763.888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,3,-1.801199376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.801199376,-1.801199376,6,36,5.26134213
CDB,2016,65.102,127.133,4.845233783,62.451,3.508774276,3.5,1969,3.871201011,1,0,0,0,0,5,1.791759469,1,0.25,0.447939867,0,0,1,1,1,1,0,0,1,0,0.931395322,3.17805383,0.707282135,6.866666667,5763.888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.8125,3,NA,NA,NA,NA,3,3,2,3,3.5,2,-0.118407866,NA,NA,NA,-0.118407866,-0.118407866,9,81,4.845233783
CERF,2011,427,465.12143,6.142298511,465.12143,2.000352123,6,2006,1.791759469,0,0,0,1,0,12,2.564949357,1,0.25,0.641237339,0,0,0,0,0,1,1,0,1,0,0.204811199,5.247024072,0.76547736,4.171974522,1267.202337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,4,2,3,1.076325351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.076325351,1.076325351,4,16,6.142298511
CERF,2013,482.003806,477.332899,6.168214149,477.332899,2.000863779,6,2006,2.079441542,0,0,0,1,0,12,2.564949357,1,0.25,0.641237339,0,0,0,0,0,1,1,0,1,0,0.203514919,5.247024072,0.753945283,4.299363057,1267.202337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,3,3,-0.384650497,-0.524407689,NA,NA,NA,4,3,2,4,2,3,1.076325351,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.909058186,1.076325351,0.083633582,6,36,6.168214149
CERF,2016,438.922173,427.191049,6.057231335,427.191049,2.000045956,6,2006,2.397895273,0,0,0,1,0,12,2.564949357,1,0.25,0.641237339,0,0,0,0,0,1,1,0,1,0,0.208758706,5.247024072,0.746557704,4.297468354,1240.905771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2.5,2,NA,NA,NA,NA,4,3,3,2,2,2.5,-0.28876364,NA,NA,NA,-0.28876364,-0.28876364,9,81,6.057231335
CGIAR,2012,878,887,6.787844982,860,3.28974201,3,1971,3.737669618,0,0,0,0,0,29,3.401197382,1,0.75,2.550898036,0,0,0,0,0,0,0,0,2,1,0.329202451,3.258096538,0.948454973,7.576923077,1232,2,3,2,3,-0.196471194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.196471194,5,25,6.787844982
CIFS,2011,1134.787936,1714.151064,7.446673231,513.134994,3.700647741,3,2008,1.386294361,0,0,1,0,0,6,1.945910149,1,0.25,0.486477537,0,0,0,0,0,1,0,0,1,0,0.204954215,5.220355825,0.708112248,4.329032258,1274.304797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,0.845118695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845118695,0.845118695,4,16,7.446673231
CIFS,2012,725.453767,670.712417,6.508340456,262.162947,3.609127637,3,2008,1.609437912,0,0,1,0,0,6,1.945910149,1,0.25,0.486477537,0,0,0,0,0,1,0,0,1,0,0.202371252,5.220355825,0.710293381,4.251612903,1274.304797,2,3,3,3,0.396590024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.396590024,5,25,6.508340456
CIFS,2013,1475.655386,672.540278,6.511062003,156.108648,3.767882084,3,2008,1.791759469,0,0,1,0,0,6,1.945910149,1,0.25,0.486477537,0,0,0,0,0,1,0,0,1,0,0.203701761,5.225746674,0.726976233,4.403846154,1289.506173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,3,4,0.702843522,0.129989273,NA,NA,NA,3,3,3,3,3,3,0.845118695,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.832832795,0.845118695,0.838975745,6,36,6.511062003
CIFS,2016,886.768445,819.910862,6.709195629,735.016898,3.10354048,3,2008,2.197224577,0,0,1,0,0,6,1.945910149,1,0.25,0.486477537,0,0,0,0,0,1,0,0,1,0,0.209234365,5.231108617,0.73458542,4.401273885,1278.044016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2.5,2.5,NA,NA,NA,NA,3,3,2,2.5,3.5,2.5,-0.183268168,NA,NA,NA,-0.183268168,-0.183268168,9,81,6.709195629
COMSEC,2011,90.78984168,96.216755,4.566603511,78.68332386,1.18222846,3,1965,3.850147602,1,1,1,0,0,75,4.33073334,1,0.25,1.082683335,1,0,1,0,0,0,0,0,1,0,0.566048244,3.951243719,0.414770211,5,2241.445598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,1,-2.825013964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.825013964,-2.825013964,4,16,4.566603511
COMSEC,2012,101.1342792,97.86627168,4.583601972,79.65976807,1.186034507,3,1965,3.871201011,1,1,1,0,0,75,4.33073334,1,0.25,1.082683335,1,0,1,0,0,0,0,0,1,0,0.641596207,3.931825633,0.410561372,4.942857143,2232,1,2,2,1,-2.090987398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.090987398,5,25,4.583601972
COMSEC,2013,79.70205181,91.34008978,4.514589791,75.41217626,1.174380314,3,1965,3.891820298,1,1,1,0,0,75,4.33073334,1,0.25,1.082683335,1,0,1,0,0,0,0,0,1,0,0.640388954,3.912023005,0.426993194,5.294117647,2169.929196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,2,-2.500217614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.500217614,-2.500217614,6,36,4.514589791
COMSEC,2016,55.39370842,63.78284765,4.155484309,50.89583443,1.202045122,3,1965,3.951243719,1,1,1,0,0,75,4.33073334,1,0.25,1.082683335,1,0,1,0,0,0,0,0,1,0,0.695451929,3.891820298,0.367175866,5.588235294,2222.222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2,2,NA,NA,NA,NA,2,2.5,2,2.5,2.5,2.5,-2.115215113,NA,NA,NA,-2.115215113,-2.115215113,9,81,4.155484309
EBRD,2011,1569.126563,1891.676958,7.545218994,283.4650584,3.728815156,5,1991,3.044522438,1,0,0,0,0,16,2.833213344,1,0.5,1.416606672,0,0,1,1,1,1,0,0,2,0,0.470117135,4.094344562,0.535475235,6.894736842,1240.381656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,4,3,1.487451344,1.407013084,NA,NA,NA,3,3,4,1,4,3,0.449512884,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.894464428,0.449512884,1.671988656,4,16,7.545218994
EBRD,2013,1343.743606,2896.682837,7.971321512,483.1028644,3.759771837,5,1991,3.135494216,1,0,0,0,0,16,2.833213344,1,0.5,1.416606672,0,0,1,1,1,1,0,0,2,0,0.488268626,4.077537444,0.62615723,6.910714286,1275.510204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,3,3,0.824574808,0.556115598,NA,NA,NA,3,3,4,1,4,3,0.449512884,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.380690406,0.449512884,0.915101645,6,36,7.971321512
EBRD,2015,1868.933655,3275.822662,8.094324311,389.6735908,3.84772154,5,1991,3.218875825,1,0,0,0,0,17,2.890371758,1,0.5,1.445185879,0,0,1,1,1,1,0,0,2,0,0.489357261,4.094344562,0.643011557,6.824561404,1271.160357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,4,NA,NA,0.846415246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.846415246,NA,0.846415246,8,64,8.094324311
EBRD,2016,891.259985,2427.552285,7.794638739,473.51475,3.757163705,5,1991,3.258096538,1,0,0,0,0,18,2.944438979,1,0.5,1.47221949,0,0,1,1,1,1,0,0,2,0,0.336554629,4.094344562,0.638380349,6.350877193,1252.693136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.5,3,NA,NA,NA,NA,3.5,3,3.5,3.5,4,3,0.987342629,NA,NA,NA,0.987342629,0.987342629,9,81,7.794638739
EBRD,2017,934.6920998,1980.971318,7.591342568,1139.868414,3.535643788,5,1991,3.295836866,1,0,0,0,0,18,2.944438979,1,0.5,1.47221949,0,0,1,1,1,1,0,0,2,0,0.329814144,4.110873864,0.666415391,6.362068966,1248.513674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,3,NA,NA,0.129989273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129989273,NA,0.129989273,10,100,7.591342568
